Gene_id	Description
ofav29439	Single-stranded DNA-binding protein 2 OS=Homo sapiens GN=SSBP2 PE=1 SV=2 E(blastx)=7e-161
ofav42997	E3 ubiquitin-protein ligase rnf213-alpha OS=Danio rerio GN=rnf213a PE=3 SV=1 E(blastx)=6e-144
ofav111954	UPF0317 protein SH0274 OS=Staphylococcus haemolyticus (strain JCSC1435) GN=SH0274 PE=3 SV=1 E(blastx)=1e-29
ofav66237	Calcyphosin-like protein OS=Mus musculus GN=Capsl PE=2 SV=4 E(blastx)=1e-11
ofav40970	Myotrophin OS=Xenopus tropicalis GN=mtpn PE=3 SV=1 E(blastx)=2e-16
ofav43318	Amiloride-sensitive amine oxidase [copper-containing] OS=Rattus norvegicus GN=Aoc1 PE=2 SV=1 E(blastx)=4e-180
ofav80765	NACHT and WD repeat domain-containing protein 2 OS=Homo sapiens GN=NWD2 PE=2 SV=3 E(blastx)=3e-30
ofav13384	Coatomer subunit epsilon OS=Gallus gallus GN=COPE PE=2 SV=1 E(blastx)=2e-60
ofav154005	Microtubule-associated protein ssm4 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=ssm4 PE=1 SV=1 E(blastx)=5e-06
ofav110641	Sideroflexin-2 OS=Bos taurus GN=SFXN2 PE=2 SV=2 E(blastx)=5e-38
ofav161111	Dynein intermediate chain 2, ciliary OS=Heliocidaris crassispina PE=2 SV=1 E(blastx)=2e-31
ofav17401	ORM1-like protein 1 OS=Bos taurus GN=ORMDL1 PE=2 SV=1 E(blastx)=2e-08
ofav44048	Metalloproteinase inhibitor 3 OS=Gallus gallus GN=TIMP3 PE=1 SV=2 E(blastx)=2e-14
ofav62906	Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens GN=IQGAP1 PE=1 SV=1 E(blastx)=2e-10
ofav45679	DnaJ homolog subfamily A member 3, mitochondrial OS=Homo sapiens GN=DNAJA3 PE=1 SV=2 E(blastx)=4e-118
ofav25083	Solute carrier family 22 member 5 OS=Homo sapiens GN=SLC22A5 PE=1 SV=1 E(blastx)=6e-51
ofav5414	Protein O-mannosyl-transferase 2 OS=Drosophila pseudoobscura pseudoobscura GN=tw PE=3 SV=1 E(blastx)=7e-45
ofav68711	Protein lin-52 homolog OS=Mus musculus GN=Lin52 PE=1 SV=1 E(blastx)=2e-40
ofav41642	Integrin beta-1 OS=Sus scrofa GN=ITGB1 PE=2 SV=1 E(blastx)=2e-164
ofav104069	Sodium/hydrogen exchanger 2 OS=Homo sapiens GN=SLC9A2 PE=2 SV=1 E(blastx)=8e-19
ofav63382	Atrial natriuretic peptide receptor 2 OS=Bos taurus GN=NPR2 PE=2 SV=1 E(blastx)=3e-35
ofav98574	Mitotic spindle assembly checkpoint protein MAD2B OS=Rattus norvegicus GN=Mad2l2 PE=2 SV=1 E(blastx)=9e-10
ofav154955	Serine/threonine-protein kinase LATS1 OS=Mus musculus GN=Lats1 PE=1 SV=3 E(blastx)=2e-63
ofav10330	E3 ubiquitin-protein ligase NEDD4-like OS=Homo sapiens GN=NEDD4L PE=1 SV=2 E(blastx)=7e-86
ofav14489	Proteasome subunit beta type-3 OS=Mus musculus GN=Psmb3 PE=1 SV=1 E(blastx)=3e-152
ofav73299	Cactin OS=Mus musculus GN=Cactin PE=1 SV=2 E(blastx)=3e-174
ofav38195	Ammonium transporter Rh type B OS=Danio rerio GN=rhbg PE=2 SV=1 E(blastx)=6e-75
ofav13739	LIM/homeobox protein Lhx5 OS=Xenopus laevis GN=lhx5 PE=1 SV=2 E(blastx)=7e-22
ofav59753	Molybdopterin biosynthesis protein CNX1 OS=Arabidopsis thaliana GN=CNX1 PE=1 SV=2 E(blastx)=5e-104
ofav108350	Nuclear pore complex protein Nup88 OS=Rattus norvegicus GN=Nup88 PE=1 SV=1 E(blastx)=3e-14
ofav41535	AN1-type zinc finger protein 4 OS=Mus musculus GN=Zfand4 PE=4 SV=2 E(blastx)=9e-86
ofav101745	Xylulose kinase OS=Bos taurus GN=XYLB PE=2 SV=1 E(blastx)=2e-60
ofav11278	Microtubule-associated proteins 1A/1B light chain 3A OS=Rattus norvegicus GN=Map1lc3a PE=1 SV=1 E(blastx)=3e-82
ofav28687	Mitochondrial assembly of ribosomal large subunit protein 1 OS=Homo sapiens GN=MALSU1 PE=1 SV=1 E(blastx)=4e-28
ofav38318	PC3-like endoprotease variant B OS=Hydra vulgaris PE=2 SV=1 E(blastx)=8e-151
ofav92153	Heat shock 70 kDa protein 12A OS=Mus musculus GN=Hspa12a PE=1 SV=1 E(blastx)=2e-11
ofav139416	Smoothened homolog OS=Homo sapiens GN=SMO PE=1 SV=1 E(blastx)=2e-19
ofav2455	Ubiquitin carboxyl-terminal hydrolase 48 OS=Rattus norvegicus GN=Usp48 PE=1 SV=1 E(blastx)=3e-11
ofav88550	Inositol-pentakisphosphate 2-kinase OS=Drosophila melanogaster GN=Ipk1 PE=2 SV=2 E(blastx)=2e-08
ofav80626	Adhesion G-protein coupled receptor D1 OS=Homo sapiens GN=ADGRD1 PE=1 SV=1 E(blastx)=4e-14
ofav52072	Homeobox protein TGIF2 OS=Homo sapiens GN=TGIF2 PE=1 SV=1 E(blastx)=9e-33
ofav45739	Ankyrin-3 OS=Rattus norvegicus GN=Ank3 PE=1 SV=3 E(blastx)=5e-17
ofav65857	TBC domain-containing protein kinase-like protein OS=Gallus gallus GN=TBCK PE=2 SV=2 E(blastx)=4e-18
ofav67894	U3 small nucleolar RNA-associated protein 14 homolog A OS=Bos taurus GN=UTP14A PE=2 SV=1 E(blastx)=6e-39
ofav131890	Prestin OS=Homo sapiens GN=SLC26A5 PE=2 SV=1 E(blastx)=1e-09
ofav155810	Platelet-activating factor acetylhydrolase OS=Cavia porcellus GN=PLA2G7 PE=2 SV=1 E(blastx)=2e-20
ofav71128	Ubiquitin carboxyl-terminal hydrolase 47 OS=Xenopus tropicalis GN=usp47 PE=2 SV=1 E(blastx)=7e-06
ofav43911	Proprotein convertase subtilisin/kexin type 6 OS=Rattus norvegicus GN=Pcsk6 PE=1 SV=1 E(blastx)=6e-18
ofav19174	POU domain, class 4, transcription factor 3 OS=Homo sapiens GN=POU4F3 PE=1 SV=1 E(blastx)=6e-64
ofav68566	Dimethylglycine dehydrogenase, mitochondrial OS=Homo sapiens GN=DMGDH PE=1 SV=2 E(blastx)=7e-68
ofav72646	Arginase OS=Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) GN=CAR1 PE=1 SV=1 E(blastx)=5e-21
ofav45604	Prestin OS=Meriones unguiculatus GN=SLC26A5 PE=1 SV=1 E(blastx)=2e-112
ofav59287	Protein polybromo-1 OS=Homo sapiens GN=PBRM1 PE=1 SV=1 E(blastx)=9e-90
ofav36861	Ubiquitin carboxyl-terminal hydrolase 47 OS=Gallus gallus GN=USP47 PE=3 SV=1 E(blastx)=6e-51
ofav26983	ATP-dependent (S)-NAD(P)H-hydrate dehydratase OS=Nematostella vectensis GN=v1g162096 PE=3 SV=1 E(blastx)=1e-62
ofav65727	5'-3' exoribonuclease 1 OS=Homo sapiens GN=XRN1 PE=1 SV=1 E(blastx)=7e-57
ofav77373	Nuclear receptor subfamily 2 group C member 2 OS=Homo sapiens GN=NR2C2 PE=1 SV=1 E(blastx)=5e-35
ofav93231	Integrin beta-1 OS=Ovis aries GN=ITGB1 PE=2 SV=1 E(blastx)=1e-29
ofav10079	E3 ubiquitin-protein ligase DZIP3 OS=Mus musculus GN=Dzip3 PE=1 SV=2 E(blastx)=8e-07
ofav65411	NF-X1-type zinc finger protein NFXL1 OS=Arabidopsis thaliana GN=NFXL1 PE=2 SV=1 E(blastx)=4e-10
ofav73016	Fidgetin-like protein 1 OS=Homo sapiens GN=FIGNL1 PE=1 SV=2 E(blastx)=8e-24
ofav46734	Multiple epidermal growth factor-like domains protein 8 OS=Mus musculus GN=Megf8 PE=1 SV=2 E(blastx)=2e-113
ofav158394	DNA repair and recombination protein RAD54-like OS=Homo sapiens GN=RAD54L PE=1 SV=2 E(blastx)=2e-12
ofav60010	Mitoferrin-2 OS=Danio rerio GN=slc25a28 PE=2 SV=1 E(blastx)=1e-154
ofav32853	Golgi resident protein GCP60 OS=Homo sapiens GN=ACBD3 PE=1 SV=4 E(blastx)=4e-49
ofav98194	Mitochondrial 2-oxodicarboxylate carrier OS=Rattus norvegicus GN=Slc25a21 PE=2 SV=1 E(blastx)=5e-08
ofav90948	4-hydroxyphenylpyruvate dioxygenase-like protein OS=Rattus norvegicus GN=Hpdl PE=2 SV=1 E(blastx)=7e-06
ofav45247	Drebrin-like protein B OS=Xenopus laevis GN=dbnl-b PE=2 SV=1 E(blastx)=1e-23
ofav101083	Growth/differentiation factor 7 OS=Chlorocebus aethiops GN=GDF7 PE=2 SV=1 E(blastx)=3e-07
ofav74251	Acyl-CoA dehydrogenase family member 10 OS=Homo sapiens GN=ACAD10 PE=1 SV=1 E(blastx)=3e-06
ofav29877	Protein SMG9 OS=Homo sapiens GN=SMG9 PE=1 SV=1 E(blastx)=2e-16
ofav118217	Cytoplasmic aconitate hydratase OS=Rattus norvegicus GN=Aco1 PE=1 SV=1 E(blastx)=7e-47
ofav79367	Replication factor C subunit 3 OS=Mus musculus GN=Rfc3 PE=1 SV=1 E(blastx)=2e-14
ofav53974	Protein will die slowly OS=Drosophila melanogaster GN=wds PE=1 SV=1 E(blastx)=3e-36
ofav57981	Disheveled-associated activator of morphogenesis 1 OS=Mus musculus GN=Daam1 PE=1 SV=4 E(blastx)=1e-163
ofav46332	Collagen alpha-1(XII) chain OS=Homo sapiens GN=COL12A1 PE=1 SV=2 E(blastx)=8e-38
ofav39055	Myotrophin OS=Danio rerio GN=mtpn PE=3 SV=1 E(blastx)=2e-39
ofav92893	Regulation of nuclear pre-mRNA domain-containing protein 2 OS=Homo sapiens GN=RPRD2 PE=1 SV=1 E(blastx)=3e-12
ofav142970	Melanoma-associated antigen D4 OS=Homo sapiens GN=MAGED4 PE=1 SV=3 E(blastx)=2e-07
ofav81769	NEDD4-like E3 ubiquitin-protein ligase WWP2 OS=Mus musculus GN=Wwp2 PE=1 SV=1 E(blastx)=3e-164
ofav142959	Protein unc-13 homolog B OS=Homo sapiens GN=UNC13B PE=1 SV=2 E(blastx)=4e-53
ofav7332	Glycogen phosphorylase, muscle form OS=Mus musculus GN=Pygm PE=1 SV=3 E(blastx)=3e-94
ofav20655	Non-specific lipid-transfer protein OS=Oryctolagus cuniculus GN=SCP2 PE=1 SV=1 E(blastx)=2e-129
ofav36349	BTB/POZ domain-containing protein 6 OS=Xenopus laevis GN=btbd6 PE=1 SV=1 E(blastx)=6e-121
ofav110303	Probable ATP-dependent RNA helicase DDX20 OS=Mus musculus GN=Ddx20 PE=1 SV=2 E(blastx)=8e-46
ofav38023	Prolyl 4-hydroxylase subunit alpha-1 OS=Gallus gallus GN=P4HA1 PE=1 SV=1 E(blastx)=6e-109
ofav19448	Ubiquitin carboxyl-terminal hydrolase 12 OS=Bos taurus GN=USP12 PE=2 SV=1 E(blastx)=3e-50
ofav3067	Peroxisomal acyl-coenzyme A oxidase 3 OS=Pongo abelii GN=ACOX3 PE=2 SV=1 E(blastx)=9e-16
ofav5478	ER degradation-enhancing alpha-mannosidase-like protein 1 OS=Homo sapiens GN=EDEM1 PE=1 SV=1 E(blastx)=1e-35
ofav6797	Sacsin OS=Homo sapiens GN=SACS PE=1 SV=2 E(blastx)=7e-20
ofav78778	Plexin-B2 OS=Mus musculus GN=Plxnb2 PE=1 SV=1 E(blastx)=9e-91
ofav32429	Oligosaccharyltransferase complex subunit ostc-B OS=Xenopus laevis GN=ostc-b PE=2 SV=1 E(blastx)=2e-65
ofav39442	Cullin-4B OS=Homo sapiens GN=CUL4B PE=1 SV=4 E(blastx)=4e-91
ofav54620	Phthiocerol synthesis polyketide synthase type I PpsB OS=Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv) GN=ppsB PE=1 SV=1 E(blastx)=5e-45
ofav45503	LON peptidase N-terminal domain and RING finger protein 1 OS=Mus musculus GN=Lonrf1 PE=1 SV=2 E(blastx)=3e-19
ofav51384	Anaphase-promoting complex subunit 4 OS=Arabidopsis thaliana GN=APC4 PE=2 SV=2 E(blastx)=3e-34
ofav61137	Zinc finger FYVE domain-containing protein 1 OS=Homo sapiens GN=ZFYVE1 PE=1 SV=1 E(blastx)=8e-28
ofav52710	Ubiquitin-protein ligase E3A OS=Homo sapiens GN=UBE3A PE=1 SV=4 E(blastx)=3e-44
ofav59226	Juxtaposed with another zinc finger protein 1 OS=Mus musculus GN=Jazf1 PE=1 SV=2 E(blastx)=1e-118
ofav141332	60S ribosomal protein L12-B OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=rpl1202 PE=3 SV=1 E(blastx)=2e-18
ofav105487	Kelch-like protein 5 OS=Homo sapiens GN=KLHL5 PE=2 SV=3 E(blastx)=1e-19
ofav7735	Protein PRY1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRY1 PE=1 SV=1 E(blastx)=2e-14
ofav33545	Elongator complex protein 3 OS=Gallus gallus GN=ELP3 PE=2 SV=1 E(blastx)=1e-92
ofav119554	Golgi reassembly-stacking protein 1 OS=Mus musculus GN=Gorasp1 PE=1 SV=3 E(blastx)=2e-90
ofav12601	Peflin OS=Mus musculus GN=Pef1 PE=1 SV=1 E(blastx)=3e-125
ofav50705	Annexin A13 OS=Canis lupus familiaris GN=ANXA13 PE=1 SV=2 E(blastx)=2e-56
ofav39841	Mannose-1-phosphate guanyltransferase alpha-B OS=Danio rerio GN=gmppab PE=2 SV=1 E(blastx)=8e-175
ofav149748	Selenium-binding protein 1-A OS=Xenopus laevis GN=selenbp1-a PE=2 SV=1 E(blastx)=1e-29
ofav149782	Ras-related protein Rap-1b OS=Xenopus tropicalis GN=rap1b PE=2 SV=1 E(blastx)=2e-21
ofav97395	Phosphatidylinositol 3-kinase catalytic subunit type 3 OS=Xenopus laevis GN=pik3c3 PE=2 SV=1 E(blastx)=3e-20
ofav112351	Tonsoku-like protein OS=Bos taurus GN=TONSL PE=2 SV=1 E(blastx)=2e-15
ofav97437	Zinc finger protein 177 OS=Homo sapiens GN=ZNF177 PE=1 SV=4 E(blastx)=8e-19
ofav92802	50 kDa hatching enzyme OS=Hemicentrotus pulcherrimus PE=1 SV=1 E(blastx)=4e-19
ofav11465	Calmodulin-like protein 3 OS=Mus musculus GN=Calml3 PE=2 SV=1 E(blastx)=7e-13
ofav13355	Protocadherin Fat 4 OS=Mus musculus GN=Fat4 PE=1 SV=2 E(blastx)=8e-20
ofav126558	Cytoskeleton-associated protein 5-A OS=Xenopus laevis GN=ckap5-a PE=1 SV=1 E(blastx)=8e-32
ofav57637	Oxidation resistance protein 1 OS=Homo sapiens GN=OXR1 PE=1 SV=2 E(blastx)=4e-35
ofav45465	Cation-independent mannose-6-phosphate receptor OS=Homo sapiens GN=IGF2R PE=1 SV=3 E(blastx)=6e-30
ofav112428	Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A OS=Homo sapiens GN=MGAT5 PE=2 SV=1 E(blastx)=7e-13
ofav9682	Putative beta-lactamase-like 1 OS=Homo sapiens GN=LACTBL1 PE=2 SV=2 E(blastx)=2e-11
ofav158945	Lamin-B receptor OS=Mus musculus GN=Lbr PE=1 SV=2 E(blastx)=2e-41
ofav81260	Ceramide kinase OS=Homo sapiens GN=CERK PE=1 SV=1 E(blastx)=2e-13
ofav117728	Protein YIPF6 OS=Mus musculus GN=Yipf6 PE=1 SV=1 E(blastx)=8e-86
ofav4922	Saccharopine dehydrogenase [NADP(+), L-glutamate-forming] OS=Magnaporthe oryzae (strain 70-15 / ATCC MYA-4617 / FGSC 8958) GN=LYS3 PE=1 SV=2 E(blastx)=2e-29
ofav73081	Cullin-4 OS=Arabidopsis thaliana GN=CUL4 PE=1 SV=1 E(blastx)=3e-117
ofav57999	Mitochondrial uncoupling protein 2 OS=Mus musculus GN=Ucp2 PE=1 SV=1 E(blastx)=2e-138
ofav48836	ABC transporter G family member 24 OS=Arabidopsis thaliana GN=ABCG24 PE=2 SV=2 E(blastx)=4e-07
ofav50719	Probable translation initiation factor eIF-2B subunit epsilon OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=tif225 PE=1 SV=1 E(blastx)=9e-59
ofav56493	Sodium- and chloride-dependent GABA transporter 1 OS=Mus cookii GN=Slc6a1 PE=2 SV=1 E(blastx)=7e-10
ofav7764	Alpha-mannosidase 2C1 OS=Rattus norvegicus GN=Man2c1 PE=1 SV=1 E(blastx)=2e-43
ofav43918	Frizzled OS=Drosophila virilis GN=fz PE=2 SV=3 E(blastx)=1e-36
ofav44062	McKusick-Kaufman/Bardet-Biedl syndromes putative chaperonin OS=Mus musculus GN=Mkks PE=2 SV=2 E(blastx)=2e-73
ofav29720	DNA-directed RNA polymerase II subunit RPB4 OS=Mus musculus GN=Polr2d PE=1 SV=2 E(blastx)=1e-64
ofav22844	Secretogranin-3 OS=Xenopus tropicalis GN=scg3 PE=2 SV=2 E(blastx)=4e-154
ofav41277	Hypoxia up-regulated protein 1 OS=Cricetulus griseus GN=HYOU1 PE=2 SV=1 E(blastx)=2e-38
ofav95319	THO complex subunit 6 homolog OS=Danio rerio GN=thoc6 PE=2 SV=1 E(blastx)=2e-21
ofav75791	Ubiquitin carboxyl-terminal hydrolase 16 OS=Rattus norvegicus GN=Usp16 PE=1 SV=2 E(blastx)=1e-178
ofav66944	Synaptic vesicle 2-related protein OS=Homo sapiens GN=SVOP PE=2 SV=1 E(blastx)=5e-30
ofav41811	Cytochrome b-c1 complex subunit Rieske, mitochondrial OS=Mus musculus GN=Uqcrfs1 PE=1 SV=1 E(blastx)=1e-93
ofav29709	Proteasome activator complex subunit 4A OS=Danio rerio GN=psme4a PE=3 SV=2 E(blastx)=4e-47
ofav103387	Forkhead box protein K1 OS=Mus musculus GN=Foxk1 PE=1 SV=2 E(blastx)=3e-99
ofav56163	Protocadherin Fat 2 OS=Rattus norvegicus GN=Fat2 PE=1 SV=1 E(blastx)=3e-18
ofav59409	Probable manganese-transporting ATPase catp-8 OS=Caenorhabditis elegans GN=catp-8 PE=3 SV=3 E(blastx)=3e-22
ofav95372	Lysosomal thioesterase PPT2 OS=Mus musculus GN=Ppt2 PE=1 SV=1 E(blastx)=1e-125
ofav33909	Bcl-2-like protein 1 OS=Rattus norvegicus GN=Bcl2l1 PE=1 SV=2 E(blastx)=2e-21
ofav82817	Coiled-coil domain-containing protein 18 OS=Mus musculus GN=Ccdc18 PE=1 SV=1 E(blastx)=2e-08
ofav22575	Chromobox protein homolog 5 OS=Mus musculus GN=Cbx5 PE=1 SV=1 E(blastx)=3e-117
ofav46063	Pleckstrin homology domain-containing family G member 7 OS=Homo sapiens GN=PLEKHG7 PE=2 SV=1 E(blastx)=2e-68
ofav100287	Lamin-B receptor OS=Mus musculus GN=Lbr PE=1 SV=2 E(blastx)=1e-28
ofav79547	Cleavage stimulation factor subunit 3 OS=Pongo abelii GN=CSTF3 PE=2 SV=1 E(blastx)=1e-50
ofav7579	GrpE protein homolog 2, mitochondrial OS=Mus musculus GN=Grpel2 PE=2 SV=2 E(blastx)=6e-43
ofav54896	Axonemal dynein light chain domain-containing protein 1 OS=Homo sapiens GN=AXDND1 PE=2 SV=1 E(blastx)=4e-28
ofav5499	Cytoplasmic FMR1-interacting protein 1 OS=Mus musculus GN=Cyfip1 PE=1 SV=1 E(blastx)=1e-20
ofav76115	LIX1-like protein OS=Homo sapiens GN=LIX1L PE=2 SV=1 E(blastx)=2e-180
ofav127297	WD repeat and FYVE domain-containing protein 3 OS=Mus musculus GN=Wdfy3 PE=1 SV=1 E(blastx)=7e-53
ofav24026	Apoptosis-inducing factor 2 OS=Taeniopygia guttata GN=AIFM2 PE=2 SV=1 E(blastx)=1e-30
ofav61713	Cytochrome b OS=Marchantia polymorpha GN=MT-CYB PE=3 SV=2 E(blastx)=9e-107
ofav102766	Solute carrier family 23 member 2 OS=Mus musculus GN=Slc23a2 PE=1 SV=2 E(blastx)=2e-16
ofav23462	Mitochondrial-processing peptidase subunit beta OS=Bos taurus GN=PMPCB PE=2 SV=1 E(blastx)=1e-32
ofav64740	PAX-interacting protein 1 OS=Mus musculus GN=Paxip1 PE=1 SV=1 E(blastx)=3e-37
ofav13538	Mesencephalic astrocyte-derived neurotrophic factor OS=Rattus norvegicus GN=Manf PE=1 SV=1 E(blastx)=2e-113
ofav80403	Neuroendocrine convertase 1 OS=Homo sapiens GN=PCSK1 PE=1 SV=2 E(blastx)=2e-29
ofav67736	Roquin-1 OS=Xenopus laevis GN=rc3h1 PE=2 SV=1 E(blastx)=2e-21
ofav89768	Histone acetyltransferase KAT8 OS=Homo sapiens GN=KAT8 PE=1 SV=2 E(blastx)=5e-36
ofav46022	Ral guanine nucleotide dissociation stimulator-like 1 OS=Danio rerio GN=rgl1 PE=2 SV=1 E(blastx)=7e-111
ofav37771	Failed axon connections homolog OS=Rattus norvegicus GN=Faxc PE=3 SV=1 E(blastx)=6e-47
ofav27076	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13 OS=Bos taurus GN=NDUFA13 PE=1 SV=3 E(blastx)=4e-39
ofav51288	Ras GTPase-activating protein-binding protein 1 OS=Mus musculus GN=G3bp1 PE=1 SV=1 E(blastx)=2e-107
ofav75189	Sterol 3-beta-glucosyltransferase OS=Phaeosphaeria nodorum (strain SN15 / ATCC MYA-4574 / FGSC 10173) GN=ATG26 PE=3 SV=1 E(blastx)=3e-05
ofav50910	Protein polyglycylase TTLL10 OS=Rattus norvegicus GN=Ttll10 PE=2 SV=2 E(blastx)=4e-08
ofav85131	Voltage-dependent N-type calcium channel subunit alpha-1B OS=Mus musculus GN=Cacna1b PE=1 SV=1 E(blastx)=2e-72
ofav113762	Serine dehydratase-like OS=Mus musculus GN=Sdsl PE=1 SV=1 E(blastx)=2e-27
ofav57447	Myosin-10 OS=Rattus norvegicus GN=Myh10 PE=1 SV=1 E(blastx)=5e-124
ofav38988	Ras-related GTP-binding protein A OS=Rattus norvegicus GN=Rraga PE=1 SV=1 E(blastx)=9e-45
ofav38591	BTB/POZ domain-containing protein KCTD6 OS=Danio rerio GN=kctd6 PE=2 SV=1 E(blastx)=2e-20
ofav112782	Non-specific lipid-transfer protein OS=Mus musculus GN=Scp2 PE=1 SV=3 E(blastx)=1e-42
ofav90891	Kinesin-like protein KIF1C OS=Mus musculus GN=Kif1c PE=1 SV=2 E(blastx)=3e-59
ofav44398	Prolyl 4-hydroxylase subunit alpha-1 OS=Bos taurus GN=P4HA1 PE=1 SV=1 E(blastx)=3e-140
ofav41707	UPF0676 protein C1494.01 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=SPCC1494.01 PE=3 SV=2 E(blastx)=2e-21
ofav115924	Myosin regulatory light chain OS=Caenorhabditis elegans GN=mlc-4 PE=1 SV=1 E(blastx)=6e-13
ofav109914	TBC1 domain family member 1 OS=Mus musculus GN=Tbc1d1 PE=1 SV=3 E(blastx)=2e-58
ofav60852	General transcription factor IIH subunit 4 OS=Pan troglodytes GN=GTF2H4 PE=3 SV=1 E(blastx)=3e-06
ofav75239	Purine nucleoside phosphorylase OS=Homo sapiens GN=PNP PE=1 SV=2 E(blastx)=2e-30
ofav89332	tRNA-dihydrouridine(16/17) synthase [NAD(P)(+)]-like OS=Homo sapiens GN=DUS1L PE=1 SV=1 E(blastx)=4e-26
ofav70144	Laminin subunit alpha OS=Drosophila melanogaster GN=LanA PE=1 SV=2 E(blastx)=1e-103
ofav108925	Gag-Pol polyprotein OS=Human immunodeficiency virus type 2 subtype B (isolate EHO) GN=gag-pol PE=3 SV=3 E(blastx)=5e-06
ofav24878	Histone chaperone asf1b OS=Xenopus tropicalis GN=asf1b PE=2 SV=1 E(blastx)=3e-76
ofav27546	Nephrocystin-3 OS=Danio rerio GN=nphp3 PE=3 SV=1 E(blastx)=3e-06
ofav101307	UHRF1-binding protein 1-like OS=Mus musculus GN=Uhrf1bp1l PE=1 SV=2 E(blastx)=3e-55
ofav34135	Protein NLRC5 OS=Ictalurus punctatus GN=nlrc5 PE=2 SV=1 E(blastx)=2e-22
ofav48517	Surfeit locus protein 4 homolog OS=Drosophila melanogaster GN=Surf4 PE=2 SV=1 E(blastx)=2e-93
ofav37251	Probable ribonuclease ZC3H12C OS=Homo sapiens GN=ZC3H12C PE=1 SV=2 E(blastx)=2e-81
ofav74347	Transmembrane and TPR repeat-containing protein 2 OS=Xenopus laevis GN=tmtc2 PE=2 SV=1 E(blastx)=1e-20
ofav125275	DNA (cytosine-5)-methyltransferase 1 OS=Mus musculus GN=Dnmt1 PE=1 SV=5 E(blastx)=5e-60
ofav19106	Cilia- and flagella-associated protein 54 OS=Mus musculus GN=Cfap54 PE=2 SV=4 E(blastx)=1e-24
ofav49370	Anaphase-promoting complex subunit 2 OS=Arabidopsis thaliana GN=APC2 PE=1 SV=1 E(blastx)=1e-93
ofav65945	Sodium-dependent neutral amino acid transporter B(0)AT1 OS=Mus musculus GN=Slc6a19 PE=1 SV=1 E(blastx)=3e-23
ofav57347	Splicing factor 3B subunit 2 OS=Homo sapiens GN=SF3B2 PE=1 SV=2 E(blastx)=4e-46
ofav158179	(E3-independent) E2 ubiquitin-conjugating enzyme UBE2O OS=Mus musculus GN=Ube2o PE=1 SV=3 E(blastx)=4e-13
ofav46220	Maltase 1 OS=Drosophila virilis GN=Mal-B1 PE=3 SV=2 E(blastx)=5e-106
ofav101862	DNA polymerase epsilon catalytic subunit A OS=Mus musculus GN=Pole PE=1 SV=3 E(blastx)=1e-27
ofav125062	Myomegalin OS=Rattus norvegicus GN=Pde4dip PE=1 SV=1 E(blastx)=6e-10
ofav104266	Mitochondrial ribosome-associated GTPase 2 OS=Homo sapiens GN=MTG2 PE=1 SV=1 E(blastx)=2e-16
ofav27951	Protein vav OS=Drosophila melanogaster GN=Vav PE=1 SV=2 E(blastx)=3e-07
ofav57764	Conserved oligomeric Golgi complex subunit 1 OS=Homo sapiens GN=COG1 PE=1 SV=1 E(blastx)=2e-14
ofav68420	Ras-related protein Rab-13 OS=Danio rerio GN=rab13 PE=1 SV=1 E(blastx)=5e-45
ofav38977	DOMON domain-containing protein FRRS1L OS=Mus musculus GN=Frrs1l PE=1 SV=1 E(blastx)=1e-166
ofav36884	Vacuolar protein sorting-associated protein 54 OS=Mus musculus GN=Vps54 PE=1 SV=1 E(blastx)=4e-122
ofav154561	Cadherin-related tumor suppressor OS=Drosophila melanogaster GN=ft PE=1 SV=3 E(blastx)=1e-05
ofav28548	UDP-N-acetylhexosamine pyrophosphorylase OS=Mus musculus GN=Uap1 PE=1 SV=1 E(blastx)=2e-145
ofav42577	Arylsulfatase J OS=Homo sapiens GN=ARSJ PE=2 SV=1 E(blastx)=2e-19
ofav132682	Importin-9 OS=Mus musculus GN=Ipo9 PE=1 SV=3 E(blastx)=7e-21
ofav94775	Endoribonuclease Dicer OS=Mus musculus GN=Dicer1 PE=1 SV=3 E(blastx)=1e-53
ofav63166	Alpha-L-iduronidase OS=Mus musculus GN=Idua PE=1 SV=2 E(blastx)=2e-05
ofav43944	Superoxide dismutase [Cu-Zn] OS=Solidago canadensis var. scabra GN=SODCC PE=2 SV=3 E(blastx)=1e-07
ofav9830	Protein btn-1 OS=Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987) GN=cln3 PE=3 SV=2 E(blastx)=8e-21
ofav66625	Dedicator of cytokinesis protein 3 OS=Mus musculus GN=Dock3 PE=1 SV=1 E(blastx)=3e-25
